cppar_cpery	-11389.790571788091	-11149.170022463311	5.066236729023288e-06
cbig_b_cbru_b	-29174.844647587543	-24980.35079647376	0.0
cbig_b_cbru_s	-22849.368088502844	-20941.15882384947	4.792166663492026e-12
cbig_e_cbru_b	-29800.6031268531	-25895.04845632121	0.0
cbig_e_cbru_s	-23743.44545085102	-21982.684583782146	5.483220544277856e-10
cmol_b_cbig_b	-32633.288507739835	-28582.78757958417	0.0
cmol_b_cbig_e	-30933.204172872705	-27576.803013827368	2.7755575615628914e-15
cmol_b_cbru_b	-49613.01394496714	-41410.334451813935	0.0
cmol_b_cbru_s	-40393.01830479637	-36372.15428046725	0.0
cmol_e_cbig_b	-23018.743898639612	-20945.37971799399	5.773159728050814e-14
cmol_e_cbig_e	-22959.87452496887	-21334.44219765492	5.643818745681983e-11
cmol_e_cbru_b	-36857.182132013535	-32283.477159636117	0.0
cmol_e_cbru_s	-29383.999664589857	-27310.881108911326	5.0892623448817176e-12
cbig_b_crub_a	-26015.86035884314	-22387.466814075033	0.0
cbig_e_crub_a	-26571.773559255453	-23750.49893777103	0.0
cbru_b_crub_a	-29348.362255152853	-22917.59228250276	0.0
cbru_s_crub_a	-21202.24334895995	-18884.640559597938	0.0
cmol_b_crub_a	-44357.287836090836	-38054.08569203395	0.0
cmol_e_crub_a	-34807.6640833501	-31174.852935998184	0.0
