cppar_cpery	-18273.924795785537	-11389.790571788091	0.002142080750411779
cbig_b_cbru_b	-53414.953195581635	-29174.844647587543	0.0006207457190734456
cbig_b_cbru_s	-46961.06521365657	-22849.368088502844	0.0002991221863871685
cbig_e_cbru_b	-54836.27323135071	-29800.6031268531	0.0008149419723252338
cbig_e_cbru_s	-49187.20033980114	-23743.44545085102	0.0007542214817166659
cmol_b_cbig_b	-55675.186648381066	-32633.288507739835	0.001769219517749665
cmol_b_cbig_e	-55562.2880745798	-30933.204172872705	0.0015676102815564974
cmol_b_cbru_b	-78792.89999248055	-49613.01394496714	0.0024760415034192906
cmol_b_cbru_s	-68460.49330624481	-40393.01830479637	0.002155791662673101
cmol_e_cbig_b	-45157.307305678885	-23018.743898639612	0.001191841100119606
cmol_e_cbig_e	-46331.21182657226	-22959.87452496887	0.001725637406179148
cmol_e_cbru_b	-63818.587578103405	-36857.182132013535	0.0019208931219620862
cmol_e_cbru_s	-55927.436908823795	-29383.999664589857	0.0015891281192149664
cbig_b_crub_a	-54905.51165727552	-26015.86035884314	0.001161203741648631
cbig_e_crub_a	-55969.186080178515	-26571.773559255453	0.0018364102234236235
cbru_b_crub_a	-65072.05403028447	-29348.362255152853	0.0010265175556272155
cbru_s_crub_a	-55722.879487771075	-21202.24334895995	0.0011824603791290578
cmol_b_crub_a	-81333.18924790702	-44357.287836090836	0.0036150140030053457
cmol_e_crub_a	-69585.42389519289	-34807.6640833501	0.003212373246299638
